<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NMTC.US,D,20210527,000000,7.5,7.5,7.2401,7.2778,3617,0
NMTC.US,D,20210528,000000,7.5,7.5,7.2614,7.388,4993,0
NMTC.US,D,20210601,000000,7.5,7.5,7.2443,7.245,11254,0
NMTC.US,D,20210602,000000,7.44,7.5,7.1205,7.259264,18955,0
NMTC.US,D,20210603,000000,7.97,7.97,7.356,7.49,23542,0
NMTC.US,D,20210604,000000,7.49,7.49,7.3,7.49,16874,0
NMTC.US,D,20210607,000000,7.37,7.37,7.0001,7.2,9325,0
NMTC.US,D,20210608,000000,7.06,7.2,7.06,7.1645,12825,0
NMTC.US,D,20210609,000000,7.13,7.4798,7.04,7.04,21607,0
NMTC.US,D,20210610,000000,7.04,7.45,7.04,7.1,16004,0
NMTC.US,D,20210611,000000,7.45,7.45,7.1487,7.25,5120,0
NMTC.US,D,20210614,000000,7.37,7.37,7.205,7.27,6578,0
NMTC.US,D,20210615,000000,7.36,7.36,7.2259,7.25,9983,0
NMTC.US,D,20210616,000000,7.4,7.4,7.1,7.2,10962,0
NMTC.US,D,20210617,000000,7.2,7.2,7.05,7.1377,15712,0
NMTC.US,D,20210618,000000,7.1,7.1686,7.04,7.0527,6413,0
NMTC.US,D,20210621,000000,7.11,7.11,7,7,8365,0
NMTC.US,D,20210622,000000,6.99,7,6.49,6.75,24115,0
NMTC.US,D,20210623,000000,6.97,6.9968,5.85,5.857,24600,0
NMTC.US,D,20210624,000000,6.3,7,6.3,6.82,37396,0
NMTC.US,D,20210625,000000,6.98,7,6.37,6.82,47088,0
NMTC.US,D,20210628,000000,6.72,6.8,6.454,6.65,12716,0
NMTC.US,D,20210629,000000,6.36,6.8,6.36,6.46,22671,0
NMTC.US,D,20210630,000000,6.56,6.971,6.5359,6.63,26659,0
NMTC.US,D,20210701,000000,6.64,6.9999,6.5276,6.78,13641,0
NMTC.US,D,20210702,000000,6.66,6.87,6.5001,6.74,43680,0
NMTC.US,D,20210706,000000,6.88,6.88,6.57,6.6,14316,0
NMTC.US,D,20210707,000000,6.57,6.73,6.4,6.45,22588,0
NMTC.US,D,20210708,000000,6.89,6.89,5.88,5.99,62532,0
NMTC.US,D,20210709,000000,5.99,6,5.9001,5.97,16251,0
NMTC.US,D,20210712,000000,5.97,5.9848,5.75,5.89,9756,0
NMTC.US,D,20210713,000000,5.86,6,5.81,5.9,6305,0
NMTC.US,D,20210714,000000,5.98,5.98,5.41,5.79,15368,0
NMTC.US,D,20210715,000000,5.88,5.88,5.2948,5.44,26543,0
NMTC.US,D,20210716,000000,5.44,5.63,5.281,5.63,28142,0
NMTC.US,D,20210719,000000,5.4,5.65,5.01,5.65,11079,0
NMTC.US,D,20210720,000000,5.38,5.65,4.976,5.55,40105,0
NMTC.US,D,20210721,000000,5.37,5.522,5.2,5.21,24880,0
NMTC.US,D,20210722,000000,5.32,5.61,5.2549,5.54,9556,0
NMTC.US,D,20210723,000000,5.58,5.58,4.93,5.22,24393,0
NMTC.US,D,20210726,000000,5.11,5.44,5.01,5.4186,2955,0
NMTC.US,D,20210727,000000,5.33,5.395,4.91,4.95,29798,0
NMTC.US,D,20210728,000000,5,5,4.34,4.51,14176,0
NMTC.US,D,20210729,000000,4.48,4.84,4.4688,4.59,10720,0
NMTC.US,D,20210730,000000,4.39,4.93,4.39,4.75,7451,0
NMTC.US,D,20210802,000000,4.71,4.897,4.7,4.88,14503,0
NMTC.US,D,20210803,000000,4.558,4.87,4.558,4.87,5411,0
NMTC.US,D,20210804,000000,4.7,4.8295,4.5915,4.755,12003,0
NMTC.US,D,20210805,000000,4.7,4.7,4.49,4.7,4225,0
NMTC.US,D,20210806,000000,4.78,5,4.5422,5,7079,0
NMTC.US,D,20210809,000000,4.81,4.99,4.6,4.98,8361,0
NMTC.US,D,20210810,000000,4.7746,4.98,4.6273,4.8,22725,0
NMTC.US,D,20210811,000000,4.68,4.7963,4.58,4.58,9607,0
NMTC.US,D,20210812,000000,4.5,4.5,4.295,4.41,13390,0
NMTC.US,D,20210813,000000,4.78,4.78,4.0878,4.43,21525,0
NMTC.US,D,20210816,000000,4.31,4.99,4.1697,4.94,26774,0
NMTC.US,D,20210817,000000,4.9,4.9,4.41,4.81,18210,0
NMTC.US,D,20210818,000000,4.81,4.815,4.4,4.6,19756,0
NMTC.US,D,20210819,000000,4.44,4.4961,3.7229,3.9,44845,0
NMTC.US,D,20210820,000000,3.91,4.0864,3.875,3.8837,26062,0
NMTC.US,D,20210823,000000,3.85,5.5,3.85,4.42,3555432,0
NMTC.US,D,20210824,000000,4.07,4.65,3.9401,4.5,206036,0
NMTC.US,D,20210825,000000,4.36,4.49,4.09,4.1,36808,0
